order_item_id,order_id,product_id,quantity
1,1001,1,2
2,1002,1,1
3,1003,7,1
4,1004,23,2
5,1004,25,1
6,1005,5,1
7,1005,4,1
8,1006,11,2
9,1006,12,1
10,1007,9,1
11,1008,19,2
12,1008,17,1
13,1008,25,3
14,1009,16,1
15,1010,5,1
16,1011,4,1
17,1011,35,1
18,1012,18,1
19,1013,6,1
20,1013,10,1
21,1014,19,1
22,1015,2,1
23,1015,4,2
24,1015,33,2
25,1016,12,1
26,1016,15,1
27,1017,26,1
28,1017,27,1
29,1017,30,1
30,1017,29,1
31,1018,8,1
32,1018,24,2
33,1019,14,2
34,1019,15,1
35,1020,6,1
36,1020,10,1
37,1021,1,1
38,1022,3,1
39,1022,33,2
40,1022,34,1
41,1023,17,1
42,1024,21,2
43,1024,24,2
44,1025,20,1
45,1025,17,1
46,1025,35,1
47,1026,5,1
48,1026,33,1
49,1026,34,2
50,1027,8,1
51,1027,24,1
52,1027,22,1
53,1028,29,1
54,1028,27,2
55,1028,26,2
56,1028,28,2
57,1029,7,1
58,1029,34,1
59,1030,6,1
60,1030,9,1
61,1030,23,1
62,1031,9,1
63,1032,11,1
64,1032,14,2
65,1032,15,1
66,1033,2,1
67,1033,4,1
68,1033,35,2
69,1034,1,1
70,1035,25,1
71,1035,23,1
72,1035,28,1
73,1036,20,1
74,1036,17,1
75,1037,8,1
76,1037,21,2
77,1037,25,1
78,1038,5,1
79,1039,18,1
80,1040,19,1
81,1040,16,1
82,1040,17,1
83,1041,11,2
84,1041,12,1
85,1042,1,1
86,1042,4,1
87,1042,5,1
88,1042,32,1
89,1043,13,1
90,1043,14,1
91,1044,3,1
92,1044,35,1
93,1044,9,2
94,1045,20,1
95,1045,25,1
96,1046,5,1
97,1046,26,1
98,1046,27,1
99,1046,29,1
100,1047,17,1
101,1048,16,1
102,1049,10,1
103,1049,9,1
104,1050,2,1
105,1050,1,1
106,1050,17,1
107,1050,14,1
108,1051,21,1
109,1051,25,2
110,1052,6,1
111,1052,10,1
112,1052,24,1
113,1053,1,1
