payment_id,order_id,payment_method,payment_status
2001,1001,UPI,Success
2002,1002,Card,Success
2003,1003,Card,Success
2004,1004,UPI,Failed
2005,1005,UPI,Success
2006,1006,COD,Pending
2007,1007,UPI,Success
2008,1008,Card,Success
2009,1009,COD,Success
2010,1010,Card,Failed
2011,1011,UPI,Success
2012,1012,COD,Success
2013,1013,UPI,Pending
2014,1014,Card,Success
2015,1015,Card,Success
2016,1016,UPI,Success
2017,1017,COD,Failed
2018,1018,UPI,Success
2019,1019,COD,Success
2020,1020,Card,Success
2021,1021,UPI,Pending
2022,1022,Card,Success
2023,1023,COD,Success
2024,1024,UPI,Failed
2025,1025,Card,Success
2026,1026,UPI,Success
2027,1027,COD,Success
2028,1028,Card,Success
2029,1029,UPI,Failed
2030,1030,Card,Success
2031,1031,COD,Success
2032,1032,UPI,Pending
2033,1033,Card,Success
2034,1034,UPI,Success
2035,1035,COD,Success
2036,1036,Card,Failed
2037,1037,UPI,Success
2038,1038,Card,Success
2039,1039,COD,Success
2040,1040,UPI,Pending
2041,1041,COD,Success
2042,1042,Card,Success
2043,1043,UPI,Failed
2044,1044,Card,Success
2045,1045,COD,Success
2046,1046,UPI,Success
2047,1047,COD,Pending
2048,1048,Card,Success
2049,1049,UPI,Success
2050,1050,Card,Success
2051,1051,UPI,Failed
2052,1052,Card,Success
2053,1053,COD,Success
2054,1054,UPI,Success
2055,1055,Card,Pending
2056,1056,COD,Success
2057,1057,UPI,Success
2058,1058,Card,Failed
2059,1059,UPI,Success
2060,1060,COD,Success
2061,1061,Card,Success
2062,1062,UPI,Pending
2063,1063,Card,Success
2064,1064,COD,Success
2065,1065,UPI,Failed
2066,1066,Card,Success
2067,1067,UPI,Success
2068,1068,Card,Success
2069,1069,COD,Pending
2070,1070,Card,Success
2071,1071,UPI,Success
2072,1072,COD,Failed
2073,1073,UPI,Success
2074,1074,Card,Success
2075,1075,UPI,Success
2076,1076,COD,Pending
2077,1077,Card,Success
2078,1078,UPI,Success
2079,1079,Card,Failed
2080,1080,COD,Success
2081,1081,UPI,Success
